id,n_ice,n_sil
2289110,158353,15100
461035,25866,8007
6001949,18910,4293
1599526,12270,4521
6017445,26350,4879
991938,12054,4512
7192093,16161,3390
6415135,13924,3769
5633869,14633,6945
1524133,49074,4544
6711451,28374,3451
5784294,14935,3705
4855266,23208,5495
3445427,81471,7124
7047488,11697,3628
7492990,17271,3309
6914987,13087,3816
5656906,49683,5953
2954721,18101,3154
4913174,10169,3765
3558090,12614,3832
3377009,14063,3434
3742954,18560,3800
3223328,11661,3756
765016,60322,6598
6258870,27843,4480
4341205,16177,3230
1375271,28841,8271
1286367,23567,2749
6518224,54952,5186
3955622,28055,4812
7072328,16022,3968
5179707,21732,3092
4834237,15025,3429
3398315,11721,3270
3497077,21515,2920
1461107,34869,6297
5139698,14140,3066
569868,32969,6470
1068941,11145,3708
6580658,21202,4868
4575475,13781,3406
2175223,33471,4007
7314085,18608,3271
2525847,10723,3696
212646,101619,11761
5543980,12061,3457
6545136,19991,3149
5952531,57346,7590
3443942,74242,10557
1852716,138862,10258
4696159,36189,5918
4175793,11722,3184
2395196,113115,13069
5811380,76532,8254
5983958,16434,2758
6744469,34463,3656
2585866,16379,2584
7674691,13062,3547
6844639,16433,2827
2209014,9218,3954
3624672,23851,4745
6941465,48794,4893
6722662,19115,2624
6760035,21097,3103
6864797,13104,3174
4922887,35852,6409
2780718,14083,2662
6124557,20738,4609
6933325,12207,3269
7171846,15601,3082
5687125,15972,3080
3372917,17236,2799
6549049,14315,3613
2739999,28304,3747
2561103,78460,5275
4694063,13218,3096
1168132,28152,2838
5185850,68962,10792
4579659,47613,6256
5589493,16759,3083
2236054,14959,2488
955353,9412,3248
843115,128214,14757
3477126,7400,3369
2918685,13476,2660
3456728,66549,7153
2738814,18853,2571
3643967,17669,3756
695455,11157,2778
1640962,59048,9300
1025229,13538,2535
3632016,14491,2863
4255948,12438,2760
7564073,27540,6281
2681289,9777,3350
4804609,44099,7262
3831507,16886,2931
7631463,11261,3153
2484402,11087,3276
5599378,10138,3108
2939945,179591,17519
2862537,11637,3163
3965686,9927,3333
381973,12607,2798
7081545,12693,2740
6185040,60280,7469
3065990,8526,3468
4012962,15640,2797
3704546,32187,2907
2425817,12018,2442
7183970,10062,2714
2026507,18874,2509
3935056,11641,3210
2604251,10432,2744
4713960,82011,7523
4845458,9924,3094
4772964,13583,2521
2526843,41683,6749
3920424,13280,2835
3208702,17276,2799
2562432,9893,3052
3996615,11032,2781
7209718,24419,4340
1016756,18892,4763
1414982,10843,3315
2783585,9809,2319
1859166,11115,2584
739094,9345,2785
5038908,19784,5332
5055042,24348,4864
5233582,14273,1917
4533673,13782,2120
6458561,55896,3303
6917294,80962,12959
4128427,8320,2899
2345749,12418,2826
5507630,9322,2410
6598727,26374,4282
6954594,26069,3784
1977244,7716,2758
613504,11286,2601
4074229,8561,2396
5357676,13355,2119
1877069,14026,3237
7535191,9529,2013
2779500,9800,2180
1343528,7702,2719
5051353,9525,2323
3699027,7993,2278
6615740,8720,2211
421624,15838,3622
5128551,12102,2204
5420628,9238,2209
3409718,9880,2268
7151925,10313,1652
1226504,10827,2040
5626836,11925,1910
7039786,18585,3984
5841883,10331,2177
2801137,7507,2473
6635985,26037,2697
33751,22326,4683
1371635,49698,5268
7370171,8750,2446
7277938,10552,1933
3904602,29604,4224
4602474,89402,3545
7472247,31123,5412
3246383,7109,1919
4241977,8677,1545
591697,11019,1708
3826989,7828,1787
742390,97023,10276
4804807,73296,6131
4496187,9819,1936
170961,11457,1307
4976069,5545,1645
4780909,24206,3616
